Query,Role,Table Sensitivity,Average Data Size,Frequency Score,Label
1,0.6,1.7,0.17182644036755784,3.894668446067766,1
1,0.6,1.6,0.4024959247215672,5.66654964277183,2
1,0.5,1.4,0.9204609055117764,5.288721960075892,2
1,1.0,1.7,0.4001738710667099,6.46043372592467,2
1,0.5,1.7,0.2994029892832138,9.418243725098195,0
1,0.6,1.4,0.4254418983701365,2.0419360465925545,1
1,0.8,1.9,0.7097850954558347,3.1530732048161845,1
1,0.6,1.4,0.5920738218778142,5.463260656532496,2
1,0.7,1.3,0.4590622570630383,1.5043390473555565,1
1,0.7,1.6,0.7684373882072892,11.615257352008278,0
1,1.0,1.6,0.11980996797738985,2.859384747553621,1
1,1.0,2.7,0.34031327697605,5.959925366999935,2
1,0.6,1.6,0.3169270614514144,6.775667494299133,2
1,0.7,1.7000000000000002,0.739891787627853,1.3304521291171996,1
1,0.8,1.3,0.7069952116331799,8.751463224320103,2
1,0.5,1.6,0.6803002840668737,9.14489081904334,0
1,0.8,1.3,0.03223910326663597,12.498093230619304,0
1,0.5,3.1,0.4293875720923671,7.7806320941031695,2
1,0.7,3.1,0.0932855650061502,2.9076922133774223,1
1,1.0,1.6,0.7532184548624443,1.365195894173172,1
1,0.8,3.1,0.8390774357206057,10.970514120863935,0
1,0.5,3.1,0.872390713263793,5.603802518230348,2
1,0.5,1.7,0.6041212854297924,9.125404392092175,0
1,0.7,1.3,0.862377361943593,10.823104814753695,0
1,0.5,3.1,0.1494478599988745,11.411512267725351,0
1,0.8,1.4,0.08320867007669902,8.660064270606114,2
1,0.7,1.7000000000000002,0.1261072861193165,3.017053106443558,1
1,0.5,1.4,0.8089036087811777,1.9841066972817558,1
1,0.6,1.6,0.6603906582331216,4.015917810958094,1
1,0.8,1.3,0.6347949841267647,11.887702007264615,0
1,0.7,1.9,0.3496270233801187,5.502378425893038,2
1,0.7,1.7000000000000002,0.12466676870477927,1.5283395204752759,1
1,1.0,2.2,0.7671593263114516,2.9536324099061995,1
1,0.8,1.6,0.14399643518536326,9.527896366625699,0
1,0.8,3.1,0.6993721278463432,7.5883374452048376,2
1,0.7,1.4,0.7865170434955308,0.4633283151370576,1
1,1.0,2.7,0.6426030832568229,6.063764201303787,2
1,0.5,1.6,0.3104753810977688,1.0631368964913113,1
1,0.5,1.4,0.4174668557720843,0.8656362627652507,1
1,0.8,1.3,0.4811479275172648,3.1860511985806954,1
1,0.5,3.1,0.8288189113720315,13.612613339309213,0
1,0.7,1.6,0.7301585964562524,3.969177448527816,1
1,0.5,3.1,0.4996617537559866,2.316742494537205,1
