[2024-03-08 00:00:01] INFO CPU: 20% | Memory: 35% | Disk: 50%
[2024-03-08 00:10:00] INFO CPU: 22% | Memory: 37% | Disk: 52%
[2024-03-08 00:20:00] INFO CPU: 21% | Memory: 36% | Disk: 51%
[2024-03-08 00:30:00] INFO CPU: 23% | Memory: 38% | Disk: 53%
[2024-03-08 00:40:00] INFO CPU: 80% | Memory: 42% | Disk: 54%
[2024-03-08 00:50:00] INFO CPU: 78% | Memory: 40% | Disk: 53%
[2024-03-08 01:00:00] INFO CPU: 25% | Memory: 39% | Disk: 52% 
[2024-03-08 01:10:00] INFO CPU: 24% | Memory: 36% | Disk: 50%
[2024-03-08 01:20:00] INFO CPU: 22% | Memory: 35% | Disk: 49%
[2024-03-08 01:30:00] WARNING Disk: 90%
[2024-03-08 01:40:00] INFO CPU: 21% | Memory: 34% | Disk: 90%
[2024-03-08 01:50:00] INFO CPU: 20% | Memory: 33% | Disk: 90%
[2024-03-08 02:00:00] INFO CPU: 22% | Memory: 37% | Disk: 90%  
[2024-03-08 02:20:00] INFO CPU: 24% | Memory: 39% | Disk: 89% 
[2024-03-08 02:30:00] INFO CPU: 23% | Memory: 38% | Disk: 88%
[2024-03-08 02:40:00] INFO CPU: 21% | Memory: 36% | Disk: 87%
[2024-03-08 02:50:00] INFO CPU: 20% | Memory: 35% | Disk: 86%
[2024-03-08 03:00:00] INFO CPU: 19% | Memory: 34% | Disk: 85%
[2024-03-08 03:10:00] INFO CPU: 18% | Memory: 33% | Disk: 84%
[2024-03-08 03:20:00] INFO CPU: 20% | Memory: 32% | Disk: 83%
[2024-03-08 03:30:00] INFO CPU: 25% | Memory: 70% | Disk: 82%
[2024-03-08 03:40:00] INFO CPU: 24% | Memory: 68% | Disk: 81%
[2024-03-08 03:50:00] INFO CPU: 23% | Memory: 67% | Disk: 80%
[2024-03-08 04:00:00] INFO CPU: 22% | Memory: 65% | Disk: 78%
[2024-03-08 04:10:00] INFO CPU: 21% | Memory: 64% | Disk: 75%
[2024-03-08 04:20:00] INFO CPU: 20% | Memory: 63% | Disk: 72% 
[2024-03-08 04:30:00] INFO CPU: 19% | Memory: 62% | Disk: 70%
[2024-03-08 04:40:00] INFO CPU: 18% | Memory: 61% | Disk: 68%
[2024-03-08 04:50:00] INFO CPU: 17% | Memory: 60% | Disk: 65%
[2024-03-08 05:00:00] INFO CPU: 45% | Memory: 61% | Disk: 63%
[2024-03-08 05:10:00] INFO CPU: 42% | Memory: 60% | Disk: 62%
[2024-03-08 05:20:00] INFO CPU: 47% | Memory: 59% | Disk: 61%
[2024-03-08 05:30:00] INFO CPU: 46% | Memory: 58% | Disk: 60%
[2024-03-08 05:40:00] INFO CPU: 48% | Memory: 57% | Disk: 59%
[2024-03-08 05:50:00] INFO CPU: 50% | Memory: 56% | Disk: 58%
[2024-03-08 06:00:00] INFO CPU: 52% | Memory: 55% | Disk: 57%
[2024-03-08 06:10:00] INFO CPU: 55% | Memory: 54% | Disk: 56%
[2024-03-08 06:20:00] INFO CPU: 58% | Memory: 53% | Disk: 55%
[2024-03-08 06:30:00] INFO CPU: 60% | Memory: 52% | Disk: 54%
[2024-03-08 06:40:00] INFO CPU: 62% | Memory: 51% | Disk: 53%
[2024-03-08 06:50:00] INFO CPU: 65% | Memory: 50% | Disk: 52%
[2024-03-08 07:00:00] INFO CPU: 68% | Memory: 49% | Disk: 51%
[2024-03-08 07:10:00] INFO CPU: 70% | Memory: 48% | Disk: 50%
[2024-03-08 07:20:00] INFO CPU: 72% | Memory: 47% | Disk: 49%
[2024-03-08 07:30:00] INFO CPU: 75% | Memory: 46% | Disk: 48%
[2024-03-08 07:40:00] INFO CPU: 78% | Memory: 45% | Disk: 47%
[2024-03-08 07:50:00] INFO CPU: 80% | Memory: 44% | Disk: 46%
[2024-03-08 08:00:00] INFO CPU: 82% | Memory: 43% | Disk: 45%
[2024-03-08 08:10:00] INFO CPU: 85% | Memory: 42% | Disk: 44%
[2024-03-08 08:20:00] INFO CPU: 88% | Memory: 41% | Disk: 43%
[2024-03-08 08:30:00] INFO CPU: 90% | Memory: 40% | Disk: 42%
[2024-03-08 08:40:00] WARNING Disk: 92%
[2024-03-08 08:50:00] INFO CPU: 91% | Memory: 39% | Disk: 92%
[2024-03-08 09:00:00] INFO CPU: 90% | Memory: 38% | Disk: 92%
[2024-03-08 09:10:00] INFO CPU: 89% | Memory: 37% | Disk: 92%
[2024-03-08 09:20:00] INFO CPU: 88% | Memory: 36% | Disk: 92%
[2024-03-08 09:30:00] INFO CPU: 87% | Memory: 35% | Disk: 92%
[2024-03-08 09:40:00] INFO CPU: 86% | Memory: 34% | Disk: 92%
[2024-03-08 09:50:00] INFO CPU: 85% | Memory: 33% | Disk: 92%
[2024-03-08 10:00:00] INFO CPU: 84% | Memory: 32% | Disk: 92%
[2024-03-08 10:10:00] INFO CPU: 83% | Memory: 31% | Disk: 92%
